Name,Input Length (Bytes),Compress Time (MS),Decompress Time (MS),Compression Ratio (%)
GZip - Large JSON,15580785,186.23,23.06,14.48
GZip - Random str (8 chars),8,0.10,0.02,350.00
GZip - Repeating str small (8 chars),8,0.05,0.01,337.50
GZip - Repeating str large (8 chars),8,0.03,0.00,350.00
GZip - Random str (20 chars),20,0.01,0.00,200.00
GZip - Repeating str small (20 chars),20,0.01,0.00,135.00
GZip - Repeating str large (20 chars),20,0.01,0.00,200.00
GZip - Random str (100 chars),100,0.02,0.00,120.00
GZip - Repeating str small (100 chars),100,0.01,0.00,27.00
GZip - Repeating str large (100 chars),100,0.02,0.00,50.00
GZip - Random str (256 chars),256,0.03,0.01,92.97
GZip - Repeating str small (256 chars),256,0.01,0.00,10.55
GZip - Repeating str large (256 chars),256,0.01,0.00,19.53
GZip - Random str (512 chars),512,0.03,0.01,83.59
GZip - Repeating str small (512 chars),512,0.01,0.00,6.05
GZip - Repeating str large (512 chars),512,0.01,0.00,10.55
GZip - Random str (1024 chars),1024,0.04,0.01,79.10
GZip - Repeating str small (1024 chars),1024,0.01,0.00,3.52
GZip - Repeating str large (1024 chars),1024,0.02,0.01,5.76
GZip - Random str (2056 chars),2056,0.06,0.01,76.95
GZip - Repeating str small (2056 chars),2056,0.02,0.01,2.24
GZip - Repeating str large (2056 chars),2056,0.02,0.01,3.40
GZip - Random str (4096 chars),4096,0.11,0.02,75.95
GZip - Repeating str small (4096 chars),4096,0.01,0.01,1.49
GZip - Repeating str large (4096 chars),4096,0.02,0.01,2.20
GZip - Random str (10000 chars),10000,0.27,0.04,75.65
GZip - Repeating str small (10000 chars),10000,0.03,0.02,0.90
GZip - Repeating str large (10000 chars),10000,0.02,0.01,1.27
GZip - Random str (50000 chars),50000,1.25,0.15,75.70
GZip - Repeating str small (50000 chars),50000,0.03,0.03,0.57
GZip - Repeating str large (50000 chars),50000,0.04,0.03,0.72
GZip - Random str (100000 chars),100000,3.16,0.31,75.72
GZip - Repeating str small (100000 chars),100000,0.06,0.04,0.53
GZip - Repeating str large (100000 chars),100000,0.10,0.07,0.66
GZip - YGO binder url eg1,154,0.03,0.01,100.65
GZip - YGO binder url eg2,159,0.03,0.01,97.48
GZip - YGO binder data raw eg1,341,0.04,0.02,87.98
GZip - YGO binder data raw eg2,66,0.02,0.01,122.73
Deflate - Large JSON,15580785,476.13,35.21,14.18
Deflate - Random str (8 chars),8,0.08,0.02,125.00
Deflate - Repeating str small (8 chars),8,0.04,0.01,100.00
Deflate - Repeating str large (8 chars),8,0.02,0.01,125.00
Deflate - Random str (20 chars),20,0.02,0.01,110.00
Deflate - Repeating str small (20 chars),20,0.02,0.01,40.00
Deflate - Repeating str large (20 chars),20,0.01,0.01,110.00
Deflate - Random str (100 chars),100,0.02,0.01,101.00
Deflate - Repeating str small (100 chars),100,0.01,0.01,9.00
Deflate - Repeating str large (100 chars),100,0.02,0.01,32.00
Deflate - Random str (256 chars),256,0.03,0.01,85.16
Deflate - Repeating str small (256 chars),256,0.02,0.01,3.52
Deflate - Repeating str large (256 chars),256,0.02,0.01,12.50
Deflate - Random str (512 chars),512,0.03,0.01,80.08
